5000, 0.02596, 0.001
10000, 0.01380, 0.001
15000, 0.01169, 0.001
20000, 0.01052, 0.001
25000, 0.00979, 0.001
30000, 0.00914, 0.001
35000, 0.00857, 0.001
40000, 0.00827, 0.001
45000, 0.00790, 0.001
50000, 0.00768, 0.001
55000, 0.00731, 0.001
60000, 0.00706, 0.001
65000, 0.00683, 0.001
70000, 0.00660, 0.001
75000, 0.00656, 0.001
80000, 0.00627, 0.001
85000, 0.00619, 0.001
90000, 0.00597, 0.001
95000, 0.00588, 0.001
100000, 0.00568, 0.001
105000, 0.00562, 0.001
110000, 0.00544, 0.001
115000, 0.00540, 0.001
120000, 0.00536, 0.001
125000, 0.00519, 0.001
130000, 0.00511, 0.001
135000, 0.00505, 0.001
140000, 0.00501, 0.001
145000, 0.00487, 0.001
150000, 0.00481, 0.001
155000, 0.00479, 0.001
160000, 0.00467, 0.001
165000, 0.00472, 0.001
170000, 0.00457, 0.001
175000, 0.00445, 0.001
180000, 0.00448, 0.001
185000, 0.00456, 0.001
190000, 0.00437, 0.001
195000, 0.00433, 0.001
200000, 0.00423, 0.001
205000, 0.00434, 0.001
210000, 0.00415, 0.001
215000, 0.00414, 0.001
220000, 0.00416, 0.001
225000, 0.00415, 0.001
230000, 0.00416, 0.001
235000, 0.00401, 0.001
240000, 0.00401, 0.001
245000, 0.00399, 0.001
250000, 0.00398, 0.001
255000, 0.00391, 0.001
260000, 0.00385, 0.001
265000, 0.00390, 0.001
270000, 0.00381, 0.001
275000, 0.00385, 0.001
280000, 0.00378, 0.001
285000, 0.00373, 0.001
290000, 0.00372, 0.001
295000, 0.00371, 0.001
300000, 0.00373, 0.001
